ticket_number,total_spent,total_quantity_articles,datetime,year,month,day,hour,minute,dayofweek,is_weekend
150040,4.5,4.0,2021-01-02 08:38:00,2021,1,2,8,38,5,1
150041,3.55,3.0,2021-01-02 09:14:00,2021,1,2,9,14,5,1
150042,6.0,5.0,2021-01-02 09:25:00,2021,1,2,9,25,5,1
150043,5.1000000000000005,5.0,2021-01-02 09:25:00,2021,1,2,9,25,5,1
150044,1.05,1.0,2021-01-02 09:27:00,2021,1,2,9,27,5,1
150045,10.2,9.0,2021-01-02 09:32:00,2021,1,2,9,32,5,1
150046,21.0,18.0,2021-01-02 09:37:00,2021,1,2,9,37,5,1
150048,3.3000000000000003,3.0,2021-01-02 09:39:00,2021,1,2,9,39,5,1
150049,3.4000000000000004,3.0,2021-01-02 09:40:00,2021,1,2,9,40,5,1
150050,2.4,2.0,2021-01-02 09:41:00,2021,1,2,9,41,5,1
150051,1.15,1.0,2021-01-02 09:46:00,2021,1,2,9,46,5,1
150052,3.15,3.0,2021-01-02 09:48:00,2021,1,2,9,48,5,1
150053,8.2,3.0,2021-01-02 09:48:00,2021,1,2,9,48,5,1
150054,4.4,3.0,2021-01-02 09:49:00,2021,1,2,9,49,5,1
150055,4.8,4.0,2021-01-02 09:57:00,2021,1,2,9,57,5,1
150056,8.65,8.0,2021-01-02 09:58:00,2021,1,2,9,58,5,1
150058,7.0,6.0,2021-01-02 10:03:00,2021,1,2,10,3,5,1
150059,4.8,4.0,2021-01-02 10:04:00,2021,1,2,10,4,5,1
150060,4.8,4.0,2021-01-02 10:05:00,2021,1,2,10,5,5,1
150061,3.8,4.0,2021-01-02 10:12:00,2021,1,2,10,12,5,1
150062,5.85,6.0,2021-01-02 10:17:00,2021,1,2,10,17,5,1
150063,18.5,7.0,2021-01-02 10:18:00,2021,1,2,10,18,5,1
150064,3.5,1.0,2021-01-02 10:22:00,2021,1,2,10,22,5,1
150065,5.5,3.0,2021-01-02 10:22:00,2021,1,2,10,22,5,1
150066,6.7,6.0,2021-01-02 10:24:00,2021,1,2,10,24,5,1
150067,3.4000000000000004,3.0,2021-01-02 10:24:00,2021,1,2,10,24,5,1
150068,1.2,2.0,2021-01-02 10:25:00,2021,1,2,10,25,5,1
150069,12.75,6.0,2021-01-02 10:29:00,2021,1,2,10,29,5,1
150070,5.65,5.0,2021-01-02 10:33:00,2021,1,2,10,33,5,1
150071,9.4,8.0,2021-01-02 10:34:00,2021,1,2,10,34,5,1
150072,1.2,1.0,2021-01-02 10:39:00,2021,1,2,10,39,5,1
150073,1.2,1.0,2021-01-02 10:40:00,2021,1,2,10,40,5,1
150074,0.6,1.0,2021-01-02 10:42:00,2021,1,2,10,42,5,1
150075,1.95,2.0,2021-01-02 10:44:00,2021,1,2,10,44,5,1
150076,2.4,2.0,2021-01-02 10:46:00,2021,1,2,10,46,5,1
150077,6.1,5.0,2021-01-02 10:49:00,2021,1,2,10,49,5,1
150078,13.2,2.0,2021-01-02 10:50:00,2021,1,2,10,50,5,1
150079,11.3,4.0,2021-01-02 10:51:00,2021,1,2,10,51,5,1
150080,5.7,5.0,2021-01-02 10:53:00,2021,1,2,10,53,5,1
150081,1.2,1.0,2021-01-02 10:54:00,2021,1,2,10,54,5,1
150082,4.8,4.0,2021-01-02 10:54:00,2021,1,2,10,54,5,1
150083,1.2,1.0,2021-01-02 10:54:00,2021,1,2,10,54,5,1
150084,11.45,10.0,2021-01-02 10:55:00,2021,1,2,10,55,5,1
150085,4.8,4.0,2021-01-02 10:56:00,2021,1,2,10,56,5,1
150086,4.65,4.0,2021-01-02 10:57:00,2021,1,2,10,57,5,1
150087,1.8,2.0,2021-01-02 10:58:00,2021,1,2,10,58,5,1
150088,2.4,2.0,2021-01-02 11:04:00,2021,1,2,11,4,5,1
150089,0.9,1.0,2021-01-02 11:06:00,2021,1,2,11,6,5,1
150090,5.7,5.0,2021-01-02 11:08:00,2021,1,2,11,8,5,1
150091,14.3,8.0,2021-01-02 11:13:00,2021,1,2,11,13,5,1
150092,8.4,8.0,2021-01-02 11:14:00,2021,1,2,11,14,5,1
150093,1.7999999999999998,2.0,2021-01-02 11:14:00,2021,1,2,11,14,5,1
150094,5.25,5.0,2021-01-02 11:15:00,2021,1,2,11,15,5,1
150095,9.6,8.0,2021-01-02 11:16:00,2021,1,2,11,16,5,1
150096,4.9,4.0,2021-01-02 11:17:00,2021,1,2,11,17,5,1
150097,1.2,1.0,2021-01-02 11:18:00,2021,1,2,11,18,5,1
150098,4.1,4.0,2021-01-02 11:19:00,2021,1,2,11,19,5,1
150099,1.05,1.0,2021-01-02 11:19:00,2021,1,2,11,19,5,1
150100,2.55,2.0,2021-01-02 11:20:00,2021,1,2,11,20,5,1
150101,19.05,7.0,2021-01-02 11:22:00,2021,1,2,11,22,5,1
150102,0.9,1.0,2021-01-02 11:22:00,2021,1,2,11,22,5,1
150103,10.1,3.0,2021-01-02 11:23:00,2021,1,2,11,23,5,1
150104,4.0,4.0,2021-01-02 11:24:00,2021,1,2,11,24,5,1
150105,15.450000000000001,4.0,2021-01-02 11:25:00,2021,1,2,11,25,5,1
150106,4.2,2.0,2021-01-02 11:26:00,2021,1,2,11,26,5,1
150107,1.8,2.0,2021-01-02 11:29:00,2021,1,2,11,29,5,1
150108,1.2,1.0,2021-01-02 11:30:00,2021,1,2,11,30,5,1
150109,10.85,8.0,2021-01-02 11:30:00,2021,1,2,11,30,5,1
150110,15.35,4.0,2021-01-02 11:33:00,2021,1,2,11,33,5,1
150111,1.2,1.0,2021-01-02 11:34:00,2021,1,2,11,34,5,1
150112,14.850000000000001,4.0,2021-01-02 11:34:00,2021,1,2,11,34,5,1
150113,21.5,6.0,2021-01-02 11:44:00,2021,1,2,11,44,5,1
150114,1.2,1.0,2021-01-02 11:45:00,2021,1,2,11,45,5,1
150115,2.1,2.0,2021-01-02 11:45:00,2021,1,2,11,45,5,1
150116,3.6,4.0,2021-01-02 11:45:00,2021,1,2,11,45,5,1
150117,3.3,2.0,2021-01-02 11:46:00,2021,1,2,11,46,5,1
150118,3.5999999999999996,3.0,2021-01-02 11:46:00,2021,1,2,11,46,5,1
