product,farine,sel,levure,sucre,beurre,lait,barres_chocolat,graines,farine_de_seigle,son_de_ble,creme,oeufs,chocolat
BAGUETTE,0.16,0.0045,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRADITIONAL_BAGUETTE,0.16,0.0045,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAIN_AU_CHOCOLAT,0.036,0.0008,0.0016,0.0048,0.0176,0.0016,0.0016,0.0,0.0,0.0,0.0,0.0,0.0
CROISSANT,0.032900000000000006,0.0007000000000000001,0.0014000000000000002,0.0035000000000000005,0.015400000000000002,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANETTE,0.1575,0.0045,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPECIAL_BREAD,0.275,0.009,0.001,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0
CAMPAGNE,0.25,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0
CEREAL_BAGUETTE,0.15,0.0045,0.0005,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0
VIK_BREAD,0.2,0.009,0.0025,0.0,0.0,0.0,0.0,0.0,0.1,0.0035,0.0,0.0,0.0
ECLAIR,0.03,0.001,0.0,0.004,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.015,0.0
COOKIE,0.0275,0.00025,0.0,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.01
BOULE_400G,0.26,0.0072,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARTELETTE,0.06,0.0006,0.0,0.024,0.03,0.0,0.0,0.0,0.0,0.0,0.024,0.018,0.0
