date,BAGUETTE,BANETTE,BOULE 400G,CAMPAGNE,CEREAL BAGUETTE,COOKIE,CROISSANT,ECLAIR,PAIN AU CHOCOLAT,SPECIAL BREAD,TARTELETTE,TRADITIONAL BAGUETTE
2021-01-02,46.0,40.0,11.0,10.0,19.0,8.0,66.0,0.0,48.0,8.0,0.0,128.0
2021-01-03,35.0,35.0,11.0,9.0,16.0,2.0,59.0,0.0,45.0,7.0,0.0,171.0
2021-01-04,30.0,24.0,5.0,6.0,7.0,2.0,17.0,0.0,17.0,7.0,0.0,128.0
2021-01-05,29.0,26.0,6.0,3.0,7.0,6.0,12.0,0.0,6.0,7.0,0.0,99.0
2021-01-07,28.0,21.0,3.0,3.0,7.0,3.0,15.0,0.0,15.0,6.0,0.0,109.0
2021-01-08,17.0,20.0,5.0,3.0,7.0,5.0,36.0,0.0,22.0,6.0,0.0,78.0
2021-01-09,25.0,30.0,6.0,5.0,10.0,2.0,33.0,0.0,25.0,8.0,0.0,135.0
2021-01-10,36.0,35.0,7.0,5.0,9.0,4.0,48.0,0.0,42.0,8.0,0.0,140.0
2021-01-11,31.0,21.0,6.0,5.0,8.0,7.0,14.0,0.0,17.0,1.0,0.0,88.0
2021-01-12,29.0,18.0,3.0,2.0,4.0,6.0,24.0,0.0,12.0,4.0,0.0,71.0
2021-01-14,24.0,21.0,4.0,5.0,2.0,3.0,24.0,0.0,18.0,8.0,0.0,77.0
2021-01-15,19.0,24.0,3.0,5.0,9.0,2.0,37.0,0.0,26.0,7.0,0.0,85.0
2021-01-16,28.0,22.0,2.0,5.0,14.0,7.0,27.0,0.0,16.0,10.0,0.0,130.0
2021-01-17,37.0,37.0,7.0,8.0,10.0,10.0,42.0,0.0,47.0,8.0,0.0,154.0
2021-01-18,27.0,21.0,7.0,5.0,5.0,6.0,16.0,0.0,14.0,7.0,0.0,80.0
2021-01-19,20.0,17.0,5.0,1.0,1.0,8.0,23.0,0.0,11.0,7.0,0.0,94.0
2021-01-21,22.0,21.0,4.0,5.0,6.0,3.0,8.0,0.0,0.0,6.0,7.0,98.0
2021-01-22,28.0,21.0,5.0,4.0,6.0,4.0,30.0,0.0,23.0,8.0,8.0,84.0
2021-01-23,28.0,25.0,2.0,5.0,7.0,3.0,23.0,0.0,33.0,7.0,5.0,106.0
2021-01-24,35.0,28.0,9.0,5.0,10.0,7.0,39.0,9.0,22.0,10.0,14.0,143.0
2021-01-25,24.0,17.0,6.0,6.0,6.0,0.0,26.0,3.0,21.0,4.0,3.0,86.0
2021-01-26,34.0,22.0,7.0,3.0,8.0,9.0,18.0,0.0,19.0,9.0,4.0,70.0
2021-01-28,18.0,20.0,5.0,6.0,5.0,6.0,11.0,0.0,20.0,8.0,1.0,71.0
2021-01-29,27.0,24.0,4.0,4.0,12.0,3.0,22.0,5.0,18.0,4.0,10.0,68.0
2021-01-30,34.0,34.0,5.0,8.0,9.0,1.0,39.0,3.0,28.0,8.0,4.0,113.0
2021-01-31,30.0,25.0,7.0,4.0,10.0,4.0,77.0,12.0,48.0,8.0,7.0,145.0
2021-02-01,15.0,20.0,3.0,3.0,10.0,5.0,6.0,0.0,14.0,5.0,5.0,72.0
2021-02-02,24.0,17.0,6.0,1.0,1.0,4.0,9.0,1.0,11.0,4.0,3.0,96.0
2021-02-04,26.0,16.0,7.0,4.0,10.0,1.0,29.0,0.0,19.0,7.0,3.0,91.0
2021-02-05,30.0,20.0,3.0,5.0,6.0,6.0,19.0,0.0,27.0,7.0,8.0,114.0
2021-02-06,20.0,26.0,5.0,4.0,9.0,1.0,38.0,9.0,35.0,9.0,9.0,131.0
2021-02-07,30.0,29.0,3.0,6.0,7.0,1.0,78.0,8.0,47.0,10.0,23.0,167.0
2021-02-08,22.0,13.0,7.0,2.0,2.0,3.0,28.0,4.0,14.0,8.0,13.0,106.0
2021-02-09,30.0,23.0,9.0,5.0,3.0,2.0,11.0,1.0,19.0,12.0,7.0,85.0
2021-02-11,17.0,23.0,6.0,5.0,5.0,1.0,16.0,0.0,26.0,6.0,4.0,70.0
2021-02-12,18.0,13.0,6.0,4.0,7.0,1.0,20.0,0.0,14.0,8.0,5.0,88.0
2021-02-13,27.0,34.0,7.0,5.0,9.0,1.0,33.0,5.0,30.0,10.0,5.0,114.0
2021-02-14,50.0,38.0,11.0,11.0,9.0,10.0,77.0,18.0,72.0,7.0,22.0,167.0
2021-02-15,25.0,23.0,6.0,1.0,10.0,4.0,20.0,0.0,11.0,4.0,0.0,135.0
2021-02-16,22.0,28.0,6.0,5.0,5.0,0.0,16.0,0.0,21.0,8.0,6.0,108.0
2021-02-18,33.0,27.0,3.0,6.0,8.0,4.0,11.0,0.0,5.0,8.0,5.0,88.0
2021-02-19,28.0,26.0,9.0,6.0,10.0,8.0,28.0,4.0,28.0,8.0,3.0,124.0
2021-02-20,28.0,26.0,10.0,10.0,20.0,4.0,22.0,6.0,30.0,10.0,9.0,165.0
2021-02-21,54.0,34.0,10.0,10.0,19.0,6.0,99.0,22.0,63.0,12.0,20.0,248.0
2021-02-22,49.0,29.0,8.0,11.0,20.0,2.0,51.0,10.0,43.0,10.0,3.0,164.0
2021-02-23,31.0,32.0,8.0,11.0,19.0,8.0,64.0,3.0,38.0,8.0,6.0,179.0
2021-02-25,36.0,38.0,8.0,10.0,19.0,2.0,53.0,0.0,36.0,9.0,3.0,210.0
2021-02-26,31.0,35.0,10.0,9.0,20.0,11.0,47.0,4.0,61.0,9.0,14.0,222.0
2021-02-27,53.0,49.0,15.0,10.0,19.0,0.0,57.0,12.0,47.0,16.0,19.0,344.0
2021-02-28,75.0,61.0,19.0,18.0,21.0,9.0,133.0,35.0,136.0,19.0,22.0,426.0
2021-03-01,36.0,30.0,4.0,9.0,20.0,3.0,41.0,0.0,36.0,8.0,8.0,201.0
2021-03-02,31.0,38.0,10.0,11.0,20.0,6.0,19.0,0.0,26.0,8.0,9.0,199.0
2021-03-04,37.0,38.0,10.0,10.0,17.0,5.0,25.0,0.0,35.0,8.0,12.0,194.0
2021-03-05,44.0,38.0,10.0,9.0,18.0,9.0,35.0,7.0,36.0,8.0,2.0,191.0
2021-03-06,48.0,40.0,10.0,10.0,11.0,6.0,44.0,9.0,51.0,10.0,13.0,276.0
2021-03-07,49.0,47.0,15.0,9.0,18.0,5.0,83.0,20.0,79.0,10.0,22.0,272.0
2021-03-08,21.0,27.0,6.0,2.0,8.0,5.0,13.0,4.0,24.0,10.0,9.0,135.0
2021-03-09,36.0,32.0,6.0,6.0,7.0,6.0,21.0,1.0,32.0,10.0,9.0,132.0
2021-03-11,23.0,33.0,7.0,5.0,10.0,4.0,38.0,0.0,28.0,8.0,5.0,135.0
2021-03-12,35.0,31.0,10.0,8.0,7.0,7.0,30.0,9.0,38.0,8.0,6.0,130.0
2021-03-13,35.0,36.0,9.0,6.0,9.0,2.0,66.0,21.0,51.0,10.0,28.0,196.0
2021-03-14,48.0,45.0,19.0,10.0,10.0,5.0,96.0,23.0,71.0,10.0,25.0,287.0
2021-03-15,29.0,28.0,5.0,6.0,7.0,11.0,21.0,3.0,31.0,10.0,10.0,136.0
2021-03-16,26.0,29.0,5.0,5.0,9.0,3.0,26.0,6.0,30.0,6.0,5.0,152.0
2021-03-18,17.0,22.0,7.0,3.0,5.0,3.0,9.0,0.0,16.0,7.0,4.0,92.0
2021-03-19,28.0,26.0,3.0,4.0,10.0,6.0,27.0,10.0,35.0,5.0,3.0,100.0
2021-03-20,41.0,34.0,10.0,8.0,7.0,4.0,40.0,10.0,38.0,10.0,4.0,228.0
2021-03-21,38.0,41.0,9.0,10.0,10.0,2.0,71.0,22.0,50.0,10.0,18.0,237.0
2021-03-22,24.0,24.0,6.0,5.0,7.0,8.0,28.0,1.0,19.0,8.0,3.0,145.0
2021-03-23,23.0,14.0,6.0,4.0,10.0,6.0,22.0,0.0,13.0,5.0,8.0,119.0
2021-03-25,25.0,31.0,6.0,6.0,10.0,5.0,25.0,0.0,15.0,8.0,6.0,143.0
2021-03-26,34.0,40.0,7.0,6.0,10.0,6.0,32.0,3.0,35.0,6.0,5.0,123.0
2021-03-27,39.0,37.0,6.0,6.0,9.0,3.0,21.0,12.0,22.0,7.0,8.0,141.0
2021-03-28,49.0,41.0,6.0,8.0,14.0,3.0,75.0,21.0,43.0,10.0,19.0,230.0
2021-03-29,45.0,26.0,5.0,5.0,6.0,3.0,10.0,0.0,13.0,5.0,5.0,130.0
2021-03-30,30.0,38.0,9.0,8.0,9.0,2.0,31.0,0.0,26.0,7.0,4.0,141.0
2021-04-01,29.0,24.0,5.0,6.0,10.0,3.0,20.0,0.0,16.0,5.0,9.0,113.0
2021-04-02,35.0,39.0,7.0,2.0,21.0,9.0,20.0,10.0,31.0,6.0,8.0,148.0
2021-04-03,36.0,43.0,8.0,7.0,20.0,8.0,60.0,11.0,40.0,14.0,2.0,294.0
2021-04-04,91.0,81.0,19.0,20.0,24.0,2.0,120.0,21.0,103.0,16.0,14.0,400.0
2021-04-05,44.0,48.0,9.0,11.0,31.0,3.0,45.0,9.0,43.0,15.0,4.0,251.0
2021-04-06,29.0,43.0,5.0,6.0,19.0,3.0,21.0,0.0,24.0,10.0,12.0,163.0
2021-04-08,31.0,34.0,4.0,7.0,20.0,3.0,27.0,7.0,31.0,7.0,2.0,145.0
2021-04-09,26.0,24.0,3.0,3.0,14.0,3.0,16.0,3.0,10.0,9.0,3.0,137.0
2021-04-10,32.0,30.0,6.0,7.0,20.0,10.0,44.0,16.0,35.0,9.0,0.0,178.0
2021-04-11,53.0,34.0,10.0,6.0,18.0,3.0,64.0,18.0,40.0,10.0,21.0,267.0
2021-04-12,31.0,32.0,4.0,9.0,21.0,8.0,22.0,1.0,20.0,9.0,3.0,170.0
2021-04-13,29.0,28.0,9.0,7.0,20.0,5.0,30.0,7.0,36.0,7.0,3.0,161.0
